oem,model,launch_announced,launch_status,body_dimensions,body_weight,body_sim,display_type,display_size,display_resolution,features_sensors,platform_os
Infinix,S5 Pro (48+40),2020,2020,162.5 x 76.9 x 9 mm (6.40 x 3.03 x 0.35 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2340 pixels
Infinix,S5 lite,2019,2019,164 x 76 x 7.9 mm (6.46 x 2.99 x 0.31 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,720 x 1600 pixels
Infinix,Smart 4c,2019,2019,167 x 76 x 8.3 mm (6.57 x 2.99 x 0.33 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,720 x 1600 pixels
Infinix,Hot 8 Lite,2019,2019,165 x 76.3 x 8.7 mm (6.50 x 3.00 x 0.34 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,720 x 1600 pixels
Infinix,Hot 8,2019,2019,165 x 76.3 x 8.7 mm (6.50 x 3.00 x 0.34 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,720 x 1600 pixels
Infinix,Smart3 Plus,2019,2019,157 x 76 x 7.8 mm (6.18 x 2.99 x 0.31 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,720 x 1520 pixels
Infinix,S4,2019,2019,156 x 75 x 7.9 mm (6.14 x 2.95 x 0.31 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,720 x 1520 pixels
Infinix,Hot 7 Pro,2019,2019,155 x 74.8 x 8 mm (6.10 x 2.94 x 0.31 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,720 x 1520 pixels
Innostream,INNO A20,2005,Discontinued,93.9 x 46.4 x 23 mm (3.70 x 1.83 x 0.91 in),,Mini-SIM,TFT,,,176 x 220 pixels,V1
Innostream,INNO 75,2004,Discontinued,82.5 x 44 x 23 mm (3.25 x 1.73 x 0.91 in),,Mini-SIM,TFT,,,128 x 128 pixels,1:1 ratio
Innostream,INNO 79,2004,Discontinued,84 x 43 x 23 mm (3.31 x 1.69 x 0.91 in),,Mini-SIM,TFT,,,128 x 160 pixels,11 lines
Innostream,INNO 78,2004,Discontinued,84 x 43 x 23 mm (3.31 x 1.69 x 0.91 in),,Mini-SIM,TFT,,,128 x 160 pixels,11 lines
Innostream,INNO 30,2004,Discontinued,82 x 42 x 21 mm (3.23 x 1.65 x 0.83 in),,Mini-SIM,TFT,,,128 x 160 pixels,11 lines
Innostream,INNO 55,2004,Discontinued,85 x 42 x 21.6 mm (3.35 x 1.65 x 0.85 in),,Mini-SIM,TFT,,,128 x 160 pixels,11 lines
Innostream,INNO 70,2004,Discontinued,90 x 52 x 22 mm (3.54 x 2.05 x 0.87 in),,Mini-SIM,TFT,,,128 x 160 pixels,11 lines
Innostream,INNO 99,2004,Discontinued,87 x 46 x 24 mm (3.43 x 1.81 x 0.94 in),,Mini-SIM,TFT,,,128 x 160 pixels,11 lines
Innostream,INNO 120,2003,Discontinued,80 x 44 x 23.3 mm (3.15 x 1.73 x 0.92 in),,Mini-SIM,LCD,,,128 x 144 pixels,10 lines
Innostream,INNO 110,2003,Discontinued,80 x 43 x 20 mm (3.15 x 1.69 x 0.79 in),,Mini-SIM,LCD,,,128 x 144 pixels,10 lines
Innostream,INNO 100,2003,Discontinued,80 x 43 x 20 mm (3.15 x 1.69 x 0.79 in),,Mini-SIM,LCD,,,128 x 144 pixels,10 lines
Kyocera,TG 200,2000,Discontinued,120 x 40 x 16 mm (4.72 x 1.57 x 0.63 in),,Mini-SIM,Monochrome graphic,,5 lines,V1,
Lava,Z71,2020,2020,145.6 x 70.9 x 9 mm (5.73 x 2.79 x 0.35 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,720 x 1520 pixels
Lava,Iris Fuel F2,2016,2016,142.5 x 72.5 x 10.5 mm (5.61 x 2.85 x 0.41 in),,Dual SIM (Micro-SIM,dual stand-by),,16M colors,,480 x 854 pixels
Lenovo,M10 FHD REL,2020,2020,,,,IPS LCD capacitive touchscreen,,10.1,1200 x 1920 pixels,16:10 ratio (~224 ppi density)
Lenovo,Yoga Smart Tab,2019,2019,242mm x 166mm x 8.5-24mm,,,IPS LCD capacitive touchscreen,,10.1,1200 x 1920 pixels,16:10 ratio (~224 ppi density)
Lenovo,K10 Plus,2019,2019,158.3 x 75.8 x 8.3 mm (6.23 x 2.98 x 0.33 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,720 x 1520 pixels
Lenovo,K10 Note,2019,2019,156.6 x 74.3 x 7.9 mm (6.17 x 2.93 x 0.31 in),,Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2340 pixels
Lenovo,A6 Note,2019,2019,154.7 x 72.9 x 9.2 mm (6.09 x 2.87 x 0.36 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,720 x 1560 pixels
Lenovo,Tab M8 (FHD),2019,2019,198.2 x 122.6 x 8.2 mm (7.80 x 4.83 x 0.32 in),,Nano-SIM,IPS LCD capacitive touchscreen,,8,1200 x 1920 pixels,16:10 ratio (~283 ppi density)
Lenovo,Tab M8 (HD),2019,2019,199.1 x 121.8 x 8.2 mm (7.84 x 4.80 x 0.32 in),,Nano-SIM,IPS LCD capacitive touchscreen,,8,800 x 1280 pixels,16:10 ratio (~189 ppi density)
Lenovo,Tab M7,2019,2019,176.3 x 102.9 x 8.3 mm (6.94 x 4.05 x 0.33 in),,Nano-SIM,IPS LCD capacitive touchscreen,,7,600 x 1024 pixels,16:9 ratio (~170 ppi density)
Lenovo,Z6,2019,2019,157 x 74.5 x 8 mm (6.18 x 2.93 x 0.31 in),,Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2340 pixels
Lenovo,Z6 Pro 5G,2019,2019,157.5 x 74.6 x 8.7 mm (6.20 x 2.94 x 0.34 in),,Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2340 pixels
Lenovo,Z6 Youth,2019,2019,156.6 x 74.3 x 7.9 mm (6.17 x 2.93 x 0.31 in),,Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2340 pixels
Lenovo,Z6 Pro,2019,2019,157.5 x 74.6 x 8.7 mm (6.20 x 2.94 x 0.34 in),,Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2340 pixels
Lenovo,Yoga Tab 3 10,2016,2016,253 x 185 x 9.5 mm (9.96 x 7.28 x 0.37 in),,Micro-SIM,IPS LCD capacitive touchscreen,,10.1,800 x 1280 pixels,16:10 ratio (~149 ppi density)
LG,Q61,2020,2020,164.5 x 77.5 x 8.3 mm (6.48 x 3.05 x 0.33 in),,Nano-SIM,IPS LCD capacitive touchscreen,,6.53,1080 x 2340 pixels,19.5:9 ratio (~395 ppi density)
LG,Stylo 6,2020,2020,171.2 x 77.7 x 8.6 mm (6.74 x 3.06 x 0.34 in),,Nano-SIM,IPS LCD capacitive touchscreen,,6.8,1080 x 2460 pixels (~395 ppi density),Fingerprint (rear-mounted)
LG,Velvet,2020,2020,167.2 x 74.1 x 7.9 mm (6.58 x 2.92 x 0.31 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2460 pixels (~395 ppi density)
LG,Folder 2,2020,2020,107.9 x 55 x 18 mm (4.25 x 2.17 x 0.71 in),,Nano-SIM,IPS LCD capacitive touchscreen,,2.8,240 x 320 pixels,4:3 ratio (~143 ppi density)
LG,V60 ThinQ 5G UW,2020,2020,169.3 x 77.6 x 8.9 mm (6.67 x 3.06 x 0.35 in),,Pre-installed Nano-SIM,P-OLED capacitive touchscreen,,6.8,1080 x 2460 pixels (~395 ppi density),Fingerprint (under display
LG,V60 ThinQ 5G,2020,2020,169.3 x 77.6 x 8.9 mm (6.67 x 3.06 x 0.35 in),,Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2460 pixels (~395 ppi density)
LG,Q51,2020,2020,164.5 x 77.5 x 8.4 mm (6.48 x 3.05 x 0.33 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,720 x 1520 pixels
LG,W10 Alpha,2020,2020,147.3 x 71 x 8.9 mm (5.80 x 2.80 x 0.35 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,720 x 1512 pixels
LG,K61,2020,2020,164.5 x 77.5 x 8.4 mm (6.48 x 3.05 x 0.33 in),,Single SIM (Nano-SIM) or Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2340 pixels
LG,K51S,2020,2020,165.2 x 76.7 x 8.3 mm (6.50 x 3.02 x 0.33 in),,Single SIM (Nano-SIM) or Dual SIM (Nano-SIM,dual stand-by),,16M colors,,720 x 1600 pixels
LG,K41S,2020,2020,165.8 x 76.5 x 8.3 mm (6.53 x 3.01 x 0.33 in),,Single SIM (Nano-SIM) or Dual SIM (Nano-SIM,dual stand-by),,16M colors,,720 x 1600 pixels
LG,G Pad 5 10.1,2019,2019,247.2 x 150.7 x 8 mm (9.73 x 5.93 x 0.31 in),,Nano-SIM,IPS LCD capacitive touchscreen,,10.1,1200 x 1920 pixels,16:10 ratio (~224 ppi density)
LG,V50S ThinQ 5G,2019,2019,159.3 x 75.8 x 8.4 mm (6.27 x 2.98 x 0.33 in),,Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2340 pixels
LG,G8X ThinQ,2019,2019,159.3 x 75.8 x 8.4 mm (6.27 x 2.98 x 0.33 in),,Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2340 pixels
LG,Q70,2019,2019,162.1 x 76.8 x 8.3 mm (6.38 x 3.02 x 0.33 in),,Single SIM (Nano-SIM) or Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2310 pixels (~398 ppi density)
LG,K30 (2019),2019,2019,146.9 x 71.5 x 8.5 mm (5.78 x 2.81 x 0.33 in),,Single SIM (Nano-SIM) or Dual SIM (Nano-SIM,dual stand-by),,16M colors,,720 x 1440 pixels
LG,K20 (2019),2019,2019,148.6 x 71.9 x 8.3 mm (5.85 x 2.83 x 0.33 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,480 x 960 pixels
LG,K40S,2019,2019,156.3 x 73.9 x 8.6 mm (6.15 x 2.91 x 0.34 in),,Single SIM (Nano-SIM) or Dual SIM (Nano-SIM,dual stand-by),,16M colors,,720 x 1520 pixels
LG,K50S,2019,2019,165.8 x 77.5 x 8.2 mm (6.53 x 3.05 x 0.32 in),,Single SIM (Nano-SIM) or Dual SIM (Nano-SIM,dual stand-by),,16M colors,,720 x 1520 pixels
LG,W30 Pro,2019,2019,157.7 x 75.9 x 8.3 mm (6.21 x 2.99 x 0.33 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,720 x 1520 pixels
LG,W30,2019,2019,159 x 76.5 x 8.2 mm (6.26 x 3.01 x 0.32 in),,Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,720 x 1520 pixels
LG,W10,2019,2019,156 x 76.2 x 8.5 mm (6.14 x 3.00 x 0.33 in),,Single SIM (Nano-SIM) or Dual SIM (Nano-SIM,dual stand-by),,16M colors,,720 x 1512 pixels
LG,Stylo 5,2019,2019,160 x 77.7 x 8.4 mm (6.30 x 3.06 x 0.33 in),,Nano-SIM,IPS LCD capacitive touchscreen,,6.2,1080 x 2160 pixels,18:9 ratio (~390 ppi density)
LG,G8S ThinQ,2019,2019,155.3 x 76.6 x 8 mm (6.11 x 3.02 x 0.31 in),,Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2248 pixels (~401 ppi density)
LG,Q8 (2018),2018,2018,160.1 x 77.7 x 8.4 mm (6.30 x 3.06 x 0.33 in),,Single SIM (Nano-SIM) or Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2160 pixels
LG,X power 3,2018,2018,154.7 x 78.1 x 8.9 mm (6.09 x 3.07 x 0.35 in),,Nano-SIM,IPS LCD capacitive touchscreen,,5.5,720 x 1280 pixels,16:9 ratio (~267 ppi density)
LG,K8 (2018),2018,2018,146.3 x 73.2 x 8.2 mm (5.76 x 2.88 x 0.32 in),,Single SIM (Nano-SIM) or Dual SIM (Nano-SIM,dual stand-by),,16M colors,,720 x 1280 pixels
LG,Watch Urbane LTE,2015,2015,V1,,Nano-SIM,P-OLED capacitive touchscreen,,1.3,320 x 320 pixels,1:1 ratio (~348 ppi density)
LG,L20,2014,Discontinued,105.6 x 64.5 x 13 mm (4.16 x 2.54 x 0.51 in),,Mini-SIM,Capacitive touchscreen,,240 x 320 pixels,4:3 ratio (~133 ppi density),V1
LG,KM338,2008,Discontinued,108 x 46 x 12.9 mm (4.25 x 1.81 x 0.51 in),,Mini-SIM,TFT,,2,240 x 320 pixels,4:3 ratio (~200 ppi density)
LG,U890,2006,Discontinued,98.8 x 49 x 18.2 mm,,99,Mini-SIM,,256K colors,,176 x 220 pixels (~128 ppi density)
LG,P7200,2005,Discontinued,96 x 50 x 17 mm (3.78 x 1.97 x 0.67 in),,Mini-SIM,TFT,,,176 x 220 pixels,V1
LG,B2050,2005,Discontinued,105 x 44 x 15.9 mm (4.13 x 1.73 x 0.63 in),,Mini-SIM,CSN,,1.5,128 x 128 pixels,1:1 ratio (~121 ppi density)
LG,M4410,2005,Discontinued,94 x 48 x 25 mm (3.70 x 1.89 x 0.98 in),,Mini-SIM,TFT,,,176 x 220 pixels,V1
LG,M4330,2005,Cancelled,V1,,Mini-SIM,TFT,,,176 x 220 pixels,V1
LG,M4300,2005,Discontinued,94 x 48 x 25 mm (3.70 x 1.89 x 0.98 in),,Mini-SIM,TFT,,,176 x 220 pixels,V1
LG,F3000,2005,Discontinued,88 x 47 x 23.9 mm (3.46 x 1.85 x 0.94 in),,Mini-SIM,TFT,,,128 x 160 pixels,V1
LG,F2410,2005,Discontinued,88 x 45 x 23.9 mm (3.46 x 1.77 x 0.94 in),,Mini-SIM,TFT,,,128 x 160 pixels,V1
LG,F2250,2005,Discontinued,87 x 45 x 23 mm (3.43 x 1.77 x 0.91 in),,Mini-SIM,CSTN,,,128 x 160 pixels,V1
LG,U8290,2006,Discontinued,89.5 x 47.5 x 24.5 mm (3.52 x 1.87 x 0.96 in),,Mini-SIM,TFT,,,176 x 220 pixels,V1
LG,U8210,2005,Discontinued,89.8 x 47.7 x 24.8 mm (3.54 x 1.88 x 0.98 in),,Mini-SIM,TFT,,,176 x 220 pixels,V1
LG,U8200,2005,Discontinued,89.5 x 47.5 x 24.5 mm (3.52 x 1.87 x 0.96 in),,Mini-SIM,TFT,,,176 x 220 pixels,V1
LG,B2150,2005,Discontinued,105 x 44 x 15.9 mm (4.13 x 1.73 x 0.63 in),,Mini-SIM,CSTN,,1.6,128 x 128 pixels,1:1 ratio (~113 ppi density)
LG,B2100,2005,Discontinued,103 x 43 x 16 mm (4.06 x 1.69 x 0.63 in),,Mini-SIM,CSTN,,1.5,128 x 128 pixels,1:1 ratio (~121 ppi density)
LG,B2000,2005,Discontinued,104 x 43 x 15.9 mm (4.09 x 1.69 x 0.63 in),,Mini-SIM,CSTN,,1.5,128 x 128 pixels,1:1 ratio (~121 ppi density)
LG,F2400,2005,Discontinued,86 x 44 x 23 mm (3.39 x 1.73 x 0.91 in),,Mini-SIM,TFT,,,128 x 160 pixels,7 lines
LG,F1200,2005,Discontinued,95 x 49 x 24 mm (3.74 x 1.93 x 0.94 in),,Mini-SIM,TFT,,,128 x 160 pixels,12 lines
LG,F7250,2004,Discontinued,98 x 49 x 25 mm (3.86 x 1.93 x 0.98 in),,Mini-SIM,TFT,,1.9,128 x 160 pixels,12 lines (~108 ppi density)
LG,C2100,2005,Discontinued,88 x 47 x 24 mm (3.46 x 1.85 x 0.94 in),,Mini-SIM,CSTN,,,128 x 160 pixels,V1
LG,G1800,2004,Discontinued,99 x 45 x 17 mm (3.90 x 1.77 x 0.67 in),,Mini-SIM,STN,,1.6,128 x 128 pixels,1:1 ratio (~113 ppi density)
LG,G1610,2005,Discontinued,104 x 44 x 17 mm (4.09 x 1.73 x 0.67 in),,Mini-SIM,STN,,1.5,128 x 128 pixels,1:1 ratio (~121 ppi density)
LG,G1700,2004,Discontinued,101 x 44 x 22 mm (3.98 x 1.73 x 0.87 in),,Mini-SIM,STN,,1.6,128 x 128 pixels,1:1 ratio (~113 ppi density)
LG,F2300,2005,Discontinued,88 x 46 x 24 mm (3.46 x 1.81 x 0.94 in),,Mini-SIM,TFT,,,128 x 160 pixels,7 lines
LG,F2100,2004,Discontinued,90 x 47 x 23 mm (3.54 x 1.85 x 0.91 in),,Mini-SIM,TFT,,,128 x 160 pixels,7 lines
LG,L3100,2004,Discontinued,105 x 44 x 18 mm (4.13 x 1.73 x 0.71 in),,Mini-SIM,TFT,,,128 x 160 pixels,V1
LG,C1200,2004,Discontinued,82 x 45 x 22 mm (3.23 x 1.77 x 0.87 in),,Mini-SIM,STN,,,128 x 160 pixels,V1
LG,G1600,2004,Discontinued,104 x 44 x 17 mm (4.09 x 1.73 x 0.67 in),,Mini-SIM,STN,,,128 x 128 pixels,8 lines
LG,G7200,2004,Discontinued,93 x 49 x 26.5 mm (3.66 x 1.93 x 1.04 in),,Mini-SIM,TFT,,,176 x 220 pixels,V1
LG,U8150,2003,Discontinued,99 x 50 x 24 mm (3.90 x 1.97 x 0.94 in),,Mini-SIM,TFT,,,176 x 220 pixels,7 lines
LG,G7070,2003,Discontinued,99 x 46 x 22 mm (3.90 x 1.81 x 0.87 in),,Mini-SIM,UFB,,,128 x 160 pixels,7 lines
LG,G7050,2003,Discontinued,94 x 44 x 21 mm (3.70 x 1.73 x 0.83 in),,Mini-SIM,STN,,,128 x 160 pixels,6 lines
LG,G1500,2004,Discontinued,105 x 44 x 21 mm (4.13 x 1.73 x 0.83 in),,Mini-SIM,Grayscale graphic,,128 x 64 pixels,2 lines,18:9 ratio
LG,G5310,2003,Discontinued,106 x 42 x 22 mm (4.17 x 1.65 x 0.87 in),,Mini-SIM,UFB,,,128 x 160 pixels,7 lines
LG,W7020,2002,Discontinued,88 x 45 x 22 mm (3.46 x 1.77 x 0.87 in),,Mini-SIM,STN,,,128 x 160 pixels,10 lines
LG,W5200,2002,Discontinued,84 x 45 x 20 mm (3.31 x 1.77 x 0.79 in),,Mini-SIM,Grayscale graphic,,,128 x 128 pixels,1:1 ratio
LG,LG-600,2002,Discontinued,80 x 44 x 24 mm (3.15 x 1.73 x 0.94 in),,Mini-SIM,Monochrome graphic,,128 x 90 pixels,V1,
LG,LG-500,2002,Discontinued,109 x 46 x 20 mm (4.29 x 1.81 x 0.79 in),,Mini-SIM,Monochrome graphic,,128 x 90 pixels,V1,
LG,LG-200,,Discontinued,106 x 45 x 20 mm (4.17 x 1.77 x 0.79 in),,Mini-SIM,Monochrome graphic,,128 x 64 pixels,18:9 ratio,V1
Maxon,MX-C90,2003,Discontinued,83 x 47 x 23 mm (3.27 x 1.85 x 0.91 in),,Mini-SIM,TFT,,,128 x 128 pixels,1:1 ratio
Maxon,MX-C80,2003,Discontinued,84 x 43.7 x 20.8 mm (3.31 x 1.72 x 0.82 in),,Mini-SIM,TFT,,,128 x 160 pixels,V1
Maxon,MX-C180,2003,Discontinued,84 x 43.7 x 20.8 mm (3.31 x 1.72 x 0.82 in),,Mini-SIM,TFT,,,128 x 160 pixels,V1
Maxon,MX-A30,2004,Discontinued,90 x 48.5 x 22.4 mm (3.54 x 1.91 x 0.88 in),,Mini-SIM,TFT,,,128 x 160 pixels,V1
Maxon,MX-C60,2003,Discontinued,80 x 45 x 22.9 mm (3.15 x 1.77 x 0.90 in),,Mini-SIM,CSTN,,,128 x 128 pixels,8 lines
Maxon,MX-C20,2003,Discontinued,91 x 46 x 23 mm (3.58 x 1.81 x 0.91 in),,Mini-SIM,CSTN,,,128 x 160 pixels,7 lines
Maxon,MX-C110,2004,Discontinued,86 x 46 x 21 mm (3.39 x 1.81 x 0.83 in),,Mini-SIM,65K colors,,,V1,
Maxon,MX-E10,2003,Discontinued,91 x 48 x 22.6 mm (3.58 x 1.89 x 0.89 in),,Mini-SIM,TFT,,,176 x 220 pixels,10 lines
Maxon,MX-V10,2004,Discontinued,78 x 37 x 20.5 mm (3.07 x 1.46 x 0.81 in),,Mini-SIM,STN,,,128 x 128 pixels,1:1 ratio
Maxon,MX-V30,2004,Discontinued,81 x 43 x 21 mm (3.19 x 1.69 x 0.83 in),,Mini-SIM,TFT,,,,V1
Maxon,MX-7990,2003,Discontinued,78 x 37 x 20.5 mm (3.07 x 1.46 x 0.81 in),,Mini-SIM,65K colors,,128 x 128 pixels,8 lines,1:1 ratio
Maxon,MX-E80,2004,Cancelled,V1,,Mini-SIM,65K colors,,,V1,
Maxon,MX-7750,2004,Discontinued,85 x 45 x 21 mm (3.35 x 1.77 x 0.83 in),,Mini-SIM,65K colors,,,V1,
Maxon,MX-C11,2004,Discontinued,85 x 45 x 21 mm (3.35 x 1.77 x 0.83 in),,Mini-SIM,65K colors,,128 x 128 pixels,1:1 ratio,V1
Maxon,MX-C160,2004,Discontinued,65 x 37 x 22 mm (2.56 x 1.46 x 0.87 in),,Mini-SIM,4096 colors,,,V1,
Maxon,MX-7940,2003,Discontinued,80 x 45 x 24 mm (3.15 x 1.77 x 0.94 in),,Mini-SIM,UFB,,,128 x 128 pixels,8 lines
Maxon,MX-7920,2003,Discontinued,64.9 x 37 x 22.1 mm (2.56 x 1.46 x 0.87 in),,Mini-SIM,Grayscale graphic,,,128 x 128 pixels,7 lines
Maxon,MX-7830,2003,Discontinued,113 x 47 x 19 mm (4.45 x 1.85 x 0.75 in),,Mini-SIM,65K colors,,128 x 160 pixels,11 lines,V1
Maxon,MX-7600,2003,Discontinued,85 x 46 x 21 mm (3.35 x 1.81 x 0.83 in),,Mini-SIM,TFT,,,128 x 160 pixels,6 lines
Maxon,MX-6879,2000,Discontinued,110 x 43 x 22 mm (4.33 x 1.69 x 0.87 in),,Mini-SIM,Monochrome graphic,,4 x 12 chars,V1,
Maxon,MX-6869,2000,Discontinued,110 x 43 x 20 mm (4.33 x 1.69 x 0.79 in),,Mini-SIM,Monochrome graphic,,4 x 12 chars,V1,
Maxon,MX-6815,1999,Discontinued,110 x 46 x 23 mm (4.33 x 1.81 x 0.91 in),,Mini-SIM,Monochrome graphic,,4 x 12 chars,V1,
Maxon,MX-6814,1999,Discontinued,110 x 46 x 23 mm (4.33 x 1.81 x 0.91 in),,Mini-SIM,Monochrome graphic,,4 x 12 chars,V1,
Meizu,17 Pro,2020,2020,160 x 77.2 x 8.5 mm (6.30 x 3.04 x 0.33 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2340 pixels
Meizu,17,2020,2020,160 x 77.2 x 8.5 mm (6.30 x 3.04 x 0.33 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2340 pixels
Meizu,16T,2019,2019,159.6 x 78.2 x 8.3 mm (6.28 x 3.08 x 0.33 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2232 pixels
Meizu,M10,2019,2019,164.9 x 76.3 x 8.5 mm (6.49 x 3.00 x 0.33 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,720 x 1600 pixels
Meizu,16s Pro,2019,2019,151.9 x 73.4 x 7.7 mm (5.98 x 2.89 x 0.30 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2232 pixels
Meizu,16Xs,2019,2019,152 x 74.4 x 8.3 mm (5.98 x 2.93 x 0.33 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2232 pixels
Meizu,16s,2019,2019,151.9 x 73.4 x 7.6 mm (5.98 x 2.89 x 0.30 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2232 pixels
Micromax,A36 Bolt,2014,Discontinued,,,Dual SIM (Mini-SIM),TFT capacitive touchscreen,,4,480 x 800 pixels,5:3 ratio (~233 ppi density)
Micromax,A28 Bolt,2014,Discontinued,116.9 x 62.5 x 12.5 mm (4.60 x 2.46 x 0.49 in),,Dual SIM (Mini-SIM),TFT capacitive touchscreen,,3.5,320 x 480 pixels,3:2 ratio (~165 ppi density)
Micromax,Bolt A62,2013,Discontinued,121.7 x 67.2 x 12.2 mm (4.79 x 2.65 x 0.48 in),,Dual SIM,TFT touchscreen,,320 x 480 pixels,3:2 ratio (~146 ppi density),V1
Micromax,Bolt A35,2013,Discontinued,124 x 64 x 11.6 mm (4.88 x 2.52 x 0.46 in),,Dual SIM,TFT touchscreen,,480 x 800 pixels,5:3 ratio (~233 ppi density),V1
Micromax,Bolt A27,2013,Discontinued,116.2 x 62 x 13.2 mm (4.57 x 2.44 x 0.52 in),,Dual SIM,TFT touchscreen,,320 x 480 pixels,3:2 ratio (~165 ppi density),V1
Micromax,GC275,2010,Discontinued,107.7 x 44.4 x 14.5 mm (4.24 x 1.75 x 0.57 in),,Mini-SIM,TFT,,,,V1
Mitac,MIO Leap G50,2008,Discontinued,98 x 58.5 x 14.2 mm (3.86 x 2.30 x 0.56 in),,Mini-SIM,TFT resistive touchscreen,,2.8,240 x 320 pixels,4:3 ratio (~143 ppi density)
Mitac,MIO Leap K1,2008,Discontinued,105.1 x 53.5 x 14.5 mm (4.14 x 2.11 x 0.57 in),,Mini-SIM,TFT resistive touchscreen,,2.6,240 x 320 pixels,4:3 ratio (~154 ppi density)
Mitac,MIO A701,2005,Discontinued,117 x 59 x 22 mm (4.61 x 2.32 x 0.87 in),,Mini-SIM,TFT resistive touchscreen,,2.7,240 x 320 pixels,4:3 ratio (~148 ppi density)
Mitac,MIO 8870,2004,Discontinued,110 x 49 x 21 mm,,120,Mini-SIM,,65K colors,,176 x 220 pixels (~128 ppi density)
Mitac,MIO 8860,2004,Cancelled,V1,,Mini-SIM,TFT,,2.2,176 x 220 pixels (~128 ppi density),V1
Mitsubishi,M750,2003,Discontinued,96 x 47 x 24 mm,,102,Mini-SIM,,256K colors,,128 x 160 pixels
Mitsubishi,M342i,2004,Discontinued,107 x 47 x 19 mm,,,Mini-SIM,,256K colors,,128 x 160 pixels
Mitsubishi,M341i/M720,2003,Discontinued,96 x 47 x 24 mm,,102,Mini-SIM,,256K colors,,128 x 160 pixels
Mitsubishi,Trium Eclipse,2001,Discontinued,123 x 48 x 29 mm,,110,Mini-SIM,,256 colors,,120 x 143 pixels
Mitsubishi,Trium Sirius,2001,Discontinued,104 x 53 x 22 mm (4.09 x 2.09 x 0.87 in),,Mini-SIM,Monochrome graphic,,5 x 13 to 25 chars,V1,
Mitsubishi,Trium Mondo,2000,Discontinued,139.5 x 84 x 19 mm (5.49 x 3.31 x 0.75 in),,Mini-SIM,Monochrome resistive touchscreen,,,240 x 320 pixels,4:3 ratio
Motorola,One Fusion+,2020,2020,162.9 x 76.4 x 9.6 mm (6.41 x 3.01 x 0.38 in),,Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2340 pixels
Motorola,Moto G Fast,2020,2020,161.9 x 75.7 x 9.1 mm (6.37 x 2.98 x 0.36 in),,Hybrid Dual SIM (Nano-SIM,dual stand-by),,16M colors,,720 x 1560 pixels
Motorola,Moto E (2020),2020,2020,159.8 x 76.6 x 8.7 mm (6.29 x 3.02 x 0.34 in),,Nano-SIM,IPS LCD capacitive touchscreen,,6.2,720 x 1520 pixels,19:9 ratio (~271 ppi density)
Motorola,Moto G Pro,2020,2020,158.6 x 75.8 x 9.2 mm (6.24 x 2.98 x 0.36 in),,Dual SIM (Nano-SIM,dual stand-by),,16M colors,,1080 x 2300 pixels (~399 ppi density)
